                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 10.715,                      0,                      0,                      0,                      0,                      0,                      0,                 14.927,                      0,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                      0,                 9.2363,                      0,                      0,                      0,                      0,                      0,                      0,                 16.134,                      0,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                      0,                 8.6017,                      0,                      0,                      0,                      0,                      0,                      0,                 15.354,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                      0,                 7.5967,                      0,                      0,                      0,                      0,                      0,                      0,                 14.813,                      0,             0.00011708,             0.00011708,             0.00011708
                      5,                      0,                 6.9319,                      0,                      0,                      0,                      0,                      0,                      0,                 48.824,                      0,             0.00014035,             0.00014035,             0.00014035
                      6,                      0,                 6.4161,                      0,                      0,                      0,                      0,                      0,                      0,                 51.673,                      0,             0.00015991,             0.00015991,             0.00015991
                      7,                      0,                 6.1195,                      0,                      0,                      0,                      0,                      0,                      0,                 146.11,                      0,             0.00017575,             0.00017575,             0.00017575
                      8,                      0,                 5.6878,                      0,                      0,                      0,                      0,                      0,                      0,                 426.18,                      0,             0.00018788,             0.00018788,             0.00018788
